True News,Count,Percentage,Precision,Recall,F1,Accuracy,,,,,,,,,,,,,,,Fake News,Count,Percentage,Precision,Recall,F1,Accuracy,Unknow,Count,Percentage,,,,
0.9809,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9808,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9807,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9806,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9805,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9804,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9803000000000011,71,0.95%,100.00%,1.82%,3.57%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.93%,100.00%,66.61%,49.93%,不确定,0,0.00%,--,--,--,--
0.9802000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9801000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
0.9800000000000011,72,0.96%,100.00%,1.85%,3.62%,100.00%,,,,,,,,,,,,,,,0.99,7460,99.37%,49.94%,100.00%,66.61%,49.94%,不确定,0,0.00%,--,--,--,--
